Predicted_score,Predicted_Activity,mol_names,SMILES
0.99972695,1,mol_20.sdf,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O
0.9996172,1,mol_42.sdf,COc1cc(I)c2oc(-c3ccc(Cl)cc3)nc2c1
0.9993981,1,mol_73.sdf,Ic1cccc2nc(-c3ccccc3)oc12
0.999134,1,mol_22.sdf,COc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)CC2=O
0.9989378,1,mol_45.sdf,Cc1cc(I)c2oc(-c3cccnc3)nc2c1
0.99892455,1,mol_28.sdf,COc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccccc1)O2
0.9986137,1,mol_68.sdf,Cc1cc(I)c2oc(-c3cccnc3)nc2c1
0.99856514,1,mol_21.sdf,COc1ccc([C@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O
0.99475765,1,mol_48.sdf,Cc1ccc(-c2nc3cccc(I)c3o2)cc1
0.99475765,1,mol_50.sdf,Ic1cccc2nc(-c3ccccc3)oc12
0.99297124,1,mol_85.sdf,COc1cc(NC(=O)c2ccc(F)c(F)c2)c2oc(-c3ccc(F)c(F)c3)nc2c1
0.99257976,1,mol_41.sdf,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)c(O)c(O)c21
0.98764706,1,mol_2.sdf,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1C[C@H](O)[C@H]2O
0.987643,1,mol_83.sdf,COC(=O)c1cc(I)c2nc(-c3ccc(C)cc3)oc2c1
0.987643,1,mol_23.sdf,COc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)CC2=O
0.98718065,1,mol_25.sdf,COc1ccc([C@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O
0.9869615,1,mol_43.sdf,COc1cc(I)c2oc(-c3ccc(C)cc3)nc2c1
0.9869336,1,mol_47.sdf,Cc1cc(I)c2oc(-c3ccccc3)nc2c1
0.9819949,1,mol_67.sdf,COc1ccc(-c2nc3cc(OC)cc(I)c3o2)cc1
0.9819949,1,mol_24.sdf,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O
0.9814176,1,mol_3.sdf,CC[C@@]12CC[C@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1C[C@H](O)[C@@H]2O
0.9814176,1,mol_9.sdf,Oc1ccc2c(c1)CC[C@@H]1Cc3cc(O)c(O)cc3[C@@H]21
0.9805288,1,mol_77.sdf,COc1cccc(-c2nc3cccc(Br)c3o2)c1
0.9803873,1,mol_16.sdf,Oc1ccc2c(c1)CC[C@@H]1Cc3cc(O)c(O)cc3[C@@H]21
0.9788833,1,mol_52.sdf,CCOc1ccc(-c2nc3cc(Br)cc(I)c3o2)cc1
