Name,Smiles,Active_Probability,Predicted_Class,InDomain
0.9830844,Oc1cc(Br)c2oc(-c3ccc(O)c(F)c3)nc2c1,0.9929,Active,In-Domain
0.2141464,C/C=C(\C)c1cc(O)c(C)c2c1Oc1cc(O)cc(C)c1C(=O)O2,0.9765,Active,In-Domain
0.9973556,C/C=C(/C)c1cc(O)c(C)c2c1Oc1cc(O)cc(C)c1C(=O)O2,0.9747,Active,In-Domain
0.4425501,C[C@@H]1C[C@@]2(C)[C@H](O)CC[C@@H]2[C@H]2CCc3cc(O)ccc3[C@@H]21,0.95,Active,In-Domain
0.9754742,C[C@@]12CC=C3c4ccc(O)cc4CC[C@@H]3[C@H]1CC[C@H]2O,0.944,Active,In-Domain
0.88834095,C/C=C(\C)c1cc([O-])c(C)c2c1Oc1cc(O)cc(C)c1C(=O)O2,0.9246,Active,In-Domain
0.955024,C/C=C(/C)c1cc(O)c(C)c2c1Oc1cc([O-])cc(C)c1C(=O)O2,0.9212,Active,In-Domain
0.91167504,O=C1C[C@H](c2ccc3ncccc3c2)c2c(cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc23)O1,0.9162,Active,In-Domain
0.90067136,[O-]c1ccc(-c2nc3cc(O)cc(Br)c3o2)cc1F,0.9162,Active,In-Domain
0.28854042,C/C=C(/C)c1cc(O)c(C)c2c1Oc1c(C)c(O)cc(/C(C)=C/C)c1C(=O)O2,0.907,Active,In-Domain
0.46542475,[O-]c1cc(Br)c2oc(-c3ccc(O)c(F)c3)nc2c1,0.8966,Active,In-Domain
0.9639791,C/C=C(\C)c1cc(O)c(C)c2c1Oc1cc([O-])cc(C)c1C(=O)O2,0.8944,Active,In-Domain
0.93749607,CC(C)=CCc1cc([C@H]2CC(=O)c3c(O)cc(O)cc3O2)cc(CC=C(C)C)c1O,0.8902,Active,In-Domain
0.96124256,O=C1C[C@H](c2ccc3nccnc3c2)c2c(cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc23)O1,0.8697,Active,In-Domain
0.9844444,O=c1oc(-c2ccc(O)c(O)c2)cc2cccc(O)c12,0.8562,Active,In-Domain
0.8590346,O=C1C=C([O-])C=C(/C=C\c2ccc(O)cc2)/C1=N/Nc1c(O)cc(O)cc1/C=C/c1ccc(O)cc1,0.8533,Active,In-Domain
0.9990669,C/C=C(/C)c1cc(O)c(C)c2c1Oc1c(C)c([O-])cc(/C(C)=C/C)c1C(=O)O2,0.8474,Active,Out-of-Domain
0.9942662,CC(C)=CCC/C(C)=C/Cc1c(O)cc(O)c2c1O[C@@H](c1ccc(O)cc1O)CC2=O,0.8261,Active,In-Domain
0.97892946,CC(C)=CCc1c(-c2ccc(O)cc2O)oc2cc3c(c(O)c2c1=O)C=CC(C)(C)O3,0.8229,Active,In-Domain
0.8656951,C[C@@H](O)c1[nH]c2ccc(NC(=O)c3cn([C@H]4CC[C@@H]([NH3+])CC4)nn3)cc2[nH+]1,0.8163,Active,Out-of-Domain
0.99696416,COc1cc([C@@H]2Oc3c(OC)cc(/C=C/CO)cc3[C@@H]2CO)ccc1O,0.8163,Active,In-Domain
0.99532676,C[C@H](O)c1nc2ccc(NC(=O)c3cn([C@H]4CC[C@@H]([NH3+])CC4)nn3)cc2[nH]1,0.8012,Active,Out-of-Domain
0.977874,COc1cc(-c2nc(-c3ccc(O)cc3)[nH]c2-c2oc(C)cc(=O)c2[O-])ccc1O,0.8004,Active,In-Domain
0.862907,C[C@@H](O)c1nc2ccc(NC(=O)c3cn([C@H]4CC[C@@H]([NH3+])CC4)nn3)cc2[nH]1,0.7975,Active,Out-of-Domain
0.45471337,C[C@@H](O)c1nc2ccc(NC(=O)c3cn([C@H]4CC[C@@H]([NH3+])CC4)nn3)cc2[nH]1,0.7975,Active,Out-of-Domain
0.052255306,C[C@H](O)c1nc2ccc(NC(=O)c3cn([C@H]4CC[C@H]([NH3+])CC4)nn3)cc2[nH]1,0.7969,Active,Out-of-Domain
0.92959744,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C[C@@H](c1ccc(O)cc1)O2,0.7846,Active,In-Domain
0.0053810757,C[C@@H](O)c1[nH]c2ccc(NC(=O)c3cn([C@H]4CC[C@@H]([NH3+])CC4)nn3)cc2[nH+]1,0.7733,Active,Out-of-Domain
0.44231266,CC(C)=CCc1c(O)cc(O)c2c1O[C@@H](c1ccc(O)cc1O)CC2=O,0.7675,Active,In-Domain
0.88385075,Cc1cc(-c2ccc3c(c2)CC[C@@H]3O)cc(C)c1O,0.763,Active,In-Domain
0.6921318,C[C@H](O)c1[nH]c2ccc(NC(=O)c3cn([C@H]4CC[C@@H]([NH3+])CC4)nn3)cc2[nH+]1,0.7566,Active,Out-of-Domain
0.97472906,O=C1C[C@H](c2ccc(O)cc2)Oc2c(/C=C/c3ccccc3)c([O-])cc(O)c21,0.756,Active,In-Domain
0.9998368,CC(C)=CCc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)c(CC=C(C)C)c(O)c1O,0.7555,Active,In-Domain
