Rank,Name,Active_Probability,InDomain,Smina_Affinity,GNINA_Vina,GNINA_CNNscore,GNINA_CNNaffinity
1,STOCK4S-53638,0.9655,In-Domain,-9.72807,,,
2,STOCK1S-90330,0.9846,In-Domain,-8.58814,,,
3,STOCK1S-90215,0.9815,In-Domain,-8.45822,,,
4,STOCK1S-17672,0.972,In-Domain,-8.44441,,,
5,STOCK1S-66074,0.9717,In-Domain,-8.37776,,,
6,STOCK5S-33780,0.9684,In-Domain,-8.0476,,,
7,STOCK2S-99234,0.9724,In-Domain,-7.94303,,,
8,STOCK6S-07294,0.9715,In-Domain,-7.372,,,
9,STOCK5S-98922,0.966,In-Domain,-7.33832,,,
10,STOCK7S-66484,0.9866,In-Domain,8.28376,,,
