Rank,Name,Active_Probability,InDomain,Smina_Affinity,GNINA_Vina,GNINA_CNNscore,GNINA_CNNaffinity
1,NPA030884,0.9723,In-Domain,-10.25931,,,
2,NPA031662,0.9768,In-Domain,-10.06264,,,
3,NPA030885,0.9714,In-Domain,-10.04013,,,
4,NPA011314,0.9723,In-Domain,-9.53488,,,
5,NPA000378,0.9658,In-Domain,-9.05951,,,
6,NPA025926,0.9602,In-Domain,-8.89901,,,
7,NPA019237,0.9847,In-Domain,-8.74437,,,
8,NPA011215,0.9765,In-Domain,-8.50855,,,
9,NPA026083,0.9803,In-Domain,-8.40014,,,
10,NPA025637,0.9604,In-Domain,-6.5072,,,
