Rank,Name,Active_Probability,InDomain,Smina_Affinity,GNINA_Vina,GNINA_CNNscore,GNINA_CNNaffinity
1,0.9754742,0.944,In-Domain,-10.9427,,,
2,0.8091885,0.7485,In-Domain,-10.61391,,,
3,0.4425501,0.95,In-Domain,-10.18161,,,
4,0.9844444,0.8562,In-Domain,-10.12148,,,
5,0.9830844,0.9929,In-Domain,-9.57583,,,
6,0.44231266,0.7675,In-Domain,-9.52486,,,
7,0.66153955,0.6748,In-Domain,-9.41026,,,
8,0.46542475,0.8966,In-Domain,-9.0974,,,
9,0.01123997,0.6987,In-Domain,-8.89011,,,
10,0.06731875,0.6782,In-Domain,-8.8467,,,
11,0.88385075,0.763,In-Domain,-8.79912,,,
12,0.9973556,0.9747,In-Domain,-8.7757,,,
13,0.2141464,0.9765,In-Domain,-8.76646,,,
14,0.90067136,0.9162,In-Domain,-8.75974,,,
15,0.09026347,0.6233,In-Domain,-8.73472,,,
16,0.981126,0.6252,In-Domain,-8.71243,,,
17,0.98487985,0.6238,In-Domain,-8.6836,,,
18,0.955024,0.9212,In-Domain,-8.68271,,,
19,0.718184,0.7287,In-Domain,-8.27974,,,
20,0.597943,0.7208,In-Domain,-8.26473,,,
21,0.88834095,0.9246,In-Domain,-7.93078,,,
22,0.9957158,0.6498,In-Domain,-7.79185,,,
23,0.6107781,0.6389,In-Domain,-7.45744,,,
24,0.9639791,0.8944,In-Domain,-7.37261,,,
25,0.95330346,0.6613,In-Domain,-7.16859,,,
26,0.9942662,0.8261,In-Domain,-7.16502,,,
27,0.28854042,0.907,In-Domain,-7.08086,,,
28,0.9852485,0.7119,In-Domain,-6.62384,,,
29,0.92959744,0.7846,In-Domain,-6.46523,,,
30,0.93749607,0.8902,In-Domain,-6.32546,,,
31,0.82440996,0.6246,In-Domain,-6.11054,,,
32,0.138836,0.627,In-Domain,-5.92074,,,
33,0.9790267,0.6221,In-Domain,-5.91983,,,
34,0.97892946,0.8229,In-Domain,-5.74247,,,
35,0.99696416,0.8163,In-Domain,-5.60992,,,
36,0.82302237,0.7548,In-Domain,-5.07286,,,
37,0.50690466,0.7187,In-Domain,-5.06807,,,
38,0.8590346,0.8533,In-Domain,-5.05585,,,
39,0.9998368,0.7555,In-Domain,-5.04707,,,
40,0.67969716,0.6393,In-Domain,-5.04183,,,
41,0.977874,0.8004,In-Domain,-4.89287,,,
42,0.7035211,0.6215,In-Domain,-4.66578,,,
43,0.44771382,0.6893,In-Domain,-4.46014,,,
44,0.6401851,0.625,In-Domain,-4.38517,,,
45,0.9944733,0.6327,In-Domain,-4.23978,,,
46,0.9347697,0.697,In-Domain,-4.21444,,,
47,0.9771144,0.6711,In-Domain,-4.11988,,,
48,0.97472906,0.756,In-Domain,-2.67724,,,
49,0.91167504,0.9162,In-Domain,3.57547,,,
50,0.96124256,0.8697,In-Domain,4.81179,,,
