"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL210143";"";"None";"312.45";"1";"5.43";"22";"CCCCC1=C2c3ccc(O)cc3CC2(CCCC)CCC1=O";"IC50";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL852971";"Activity at human ERbeta transfected in HEK293 cells assessed as transactivation of alkaline phosphatase reporter gene";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138102";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"CHEMBL3307715";"";"";"";"40.0"
"CHEMBL183344";"";"None";"463.60";"1";"5.93";"7";"C[C@H]1CCCN1CCOc1ccc([C@@H]2Oc3ccc(O)cc3S[C@@H]2c2ccc(O)cc2)cc1";"IC50";"'='";"48.0";"nM";"7.32";"";"";"UO_0000065";"15.79";"0.30";"1.39";"11.77";"0";"CHEMBL831972";"Inhibition of binding to recombinant human estrogen receptor beta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144457";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"48.0"
"CHEMBL183399";"";"None";"477.63";"1";"6.17";"8";"C[C@@H]1CCN([C@H](C)COc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)C1";"IC50";"'='";"90.0";"nM";"7.05";"";"";"UO_0000065";"14.75";"0.28";"0.88";"11.33";"0";"CHEMBL833494";"Inhibition of human estrogen receptor 2 using tritiated estradiol incubated for 20 hr";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142800";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"90.0"
"CHEMBL364110";"";"None";"299.33";"0";"4.08";"80";"CCCCOc1cc(-c2nc3ccc(O)cc3o2)ccc1O";"IC50";"'='";"3660.0";"nM";"5.44";"";"";"UO_0000065";"18.16";"0.34";"1.36";"7.18";"0";"CHEMBL829091";"Inhibitory concentration against human ER beta expressed in Escherichia coli was determined using [3H]17-beta-estradiol as radio ligand";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138773";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"3660.0"
"CHEMBL185383";"";"None";"513.64";"1";"4.17";"3";"O=S1(=O)CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3ccc(O)cc3)cc2)CC1";"IC50";"'='";"247.0";"nM";"6.61";"";"";"UO_0000065";"12.86";"0.26";"2.44";"6.86";"0";"CHEMBL877124";"Binding potency for human ER beta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137199";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"247.0"
"CHEMBL184367";"";"None";"489.64";"1";"6.46";"2";"Oc1ccc([C@H]2Sc3cc(O)ccc3O[C@H]2c2ccc(OCCN3C4CCCC3CC4)cc2)cc1";"IC50";"'='";"51.0";"nM";"7.29";"";"";"UO_0000065";"14.89";"0.28";"0.83";"11.73";"0";"CHEMBL831070";"Binding potency for human ER beta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137846";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";"";"";"51.0"
"CHEMBL203340";"";"None";"311.12";"0";"3.97";"46";"Cc1c(O)c(Cl)cc2c1c(=O)oc1c(Cl)c(O)ccc12";"IC50";"'='";"19.0";"nM";"7.72";"";"";"UO_0000065";"24.82";"0.53";"3.75";"10.93";"0";"CHEMBL865583";"Binding affinity to ERbeta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139663";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"19.0"
"CHEMBL383518";"";"None";"270.28";"0";"3.23";"41";"CCc1cc(O)cc2c(=O)oc3c(C)c(O)ccc3c12";"IC50";"'='";"91.0";"nM";"7.04";"";"";"UO_0000065";"26.05";"0.48";"3.81";"9.96";"0";"CHEMBL865583";"Binding affinity to ERbeta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139663";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"91.0"
"CHEMBL206120";"";"None";"256.26";"0";"2.97";"33";"Cc1c(O)ccc2c1c(=O)oc1cc(O)cc(C)c12";"IC50";"'='";"67.0";"nM";"7.17";"";"";"UO_0000065";"27.99";"0.52";"4.20";"10.15";"0";"CHEMBL865583";"Binding affinity to ERbeta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139663";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"67.0"
"CHEMBL206218";"";"None";"333.18";"0";"4.34";"26";"Cc1cc2c(=O)oc3c(C)c(O)ccc3c2c(C)c1Br";"IC50";"'='";"57.0";"nM";"7.24";"";"";"UO_0000065";"21.74";"0.49";"2.90";"14.36";"0";"CHEMBL865583";"Binding affinity to ERbeta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139663";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"57.0"
"CHEMBL189287";"";"None";"243.22";"0";"2.61";"85";"Oc1ccc(-c2nc3cc(O)ccc3o2)c(O)c1";"IC50";"'='";"25.0";"nM";"7.60";"";"";"UO_0000065";"31.26";"0.58";"4.99";"8.77";"0";"CHEMBL829091";"Inhibitory concentration against human ER beta expressed in Escherichia coli was determined using [3H]17-beta-estradiol as radio ligand";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138773";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"25.0"
"CHEMBL44";"GENISTEIN";"2.0";"270.24";"0";"2.58";"genistein";"O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12";"IC50";"'='";"61.0";"nM";"7.21";"";"";"UO_0000065";"26.70";"0.49";"4.63";"7.94";"0";"CHEMBL860987";"Displacement of [3H]estrone from ER beta";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146098";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"61.0"
"CHEMBL2403361";"";"None";"284.40";"0";"4.98";"11";"CCCC(CCC)(c1ccc(O)cc1)c1ccc(O)cc1";"IC50";"'='";"2200.0";"nM";"5.66";"";"";"UO_0000065";"19.89";"0.37";"0.68";"13.98";"0";"CHEMBL2406170";"Antagonist activity at human Gal4-ERbeta assessed as inhibition of 17beta-estradiol-induced effect by reporter gene assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2401681";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"2200.0"
"CHEMBL2403359";"";"None";"296.41";"0";"4.96";"21";"Cc1cc(C2(c3ccc(O)c(C)c3)CCCCC2)ccc1O";"IC50";"'='";"790.0";"nM";"6.10";"";"";"UO_0000065";"20.59";"0.38";"1.14";"15.08";"0";"CHEMBL2406170";"Antagonist activity at human Gal4-ERbeta assessed as inhibition of 17beta-estradiol-induced effect by reporter gene assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL242";"Estrogen receptor beta";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2401681";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"790.0"
