Molecule ChEMBL ID,Smiles,Standard Value,pIC50,Molecular Weight,AlogP,Bioactivity_Class,Label
CHEMBL192765,CSC1=C(c2ccc(O)cc2)C(=O)c2ccc(O)cc21,1.3,8.886056647693163,284.34,3.53,Active,1
CHEMBL372808,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OC[C@H](C)N3CCCC3)cc2)c2ccc(O)cc12,2.3,8.638272163982407,456.59,5.94,Active,1
CHEMBL187087,Oc1ccc(-c2nc3ccc(O)cc3o2)c(O)c1,3.0,8.522878745280337,243.22,2.61,Active,1
CHEMBL5426983,Cc1c(OCCNCCCF)ncc(F)c1[C@@H]1c2[nH]c3ccccc3c2C[C@@H](C)N1C[C@@H](C)C(=O)O,19.95,7.700057099977233,500.59,4.4,Active,1
CHEMBL211816,CCCC[C@@]12CCC(=O)C(CC)=C1c1ccc3[nH]ncc3c1C2,1.1,8.958607314841775,308.43,4.82,Active,1
CHEMBL232023,Cc1c(/C=N/O)c2ccccc2n1-c1ccc(O)c(F)c1,8.05,8.094204119632131,284.29,3.59,Active,1
CHEMBL438516,O/N=C/c1c(Cl)cc(-c2ccc(O)c(F)c2)cc1Cl,9.0,8.045757490560675,300.12,4.31,Active,1
CHEMBL361871,C=Cc1cc(O)c(Br)c2nc(-c3ccc(O)c(F)c3)oc12,25.0,7.6020599913279625,350.14,4.45,Active,1
CHEMBL245771,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H]5CC[C@@]43CC(=O)O5)[C@@H]1CC[C@@H]2O,10000.0,5.0,316.44,3.61,Inactive,0
CHEMBL1676,C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)c1ccco1)C(=O)SCF,5000.0,5.301029995663981,538.58,4.93,Inactive,0
CHEMBL203122,CC(C)c1nc2cc(O)cc(O)c2c(=O)n1-c1ccc(O)cc1,48086.0,4.317981347903913,312.32,2.63,Inactive,0
CHEMBL206499,CCCc1nc2cc(O)cc(O)c2c(=O)n1-c1ccc(O)cc1,3224.0,5.491604966866947,312.32,2.46,Inactive,0
CHEMBL213337,CC[C@@H]1CC[C@@H]2C[C@]13Cc1cc(O)ccc1C3=C(C)C2=O,5.0,8.301029995663981,282.38,4.12,Active,1
CHEMBL379008,CCC[C@@H]1C[C@@H]2C[C@]13Cc1cc(O)ccc1C3=C(C)C2=O,1.0,9.0,282.38,4.12,Active,1
CHEMBL385693,CC1=C2c3ccc(O)cc3C[C@@]23CC[C@H](C3)C1=O,12.0,7.920818753952375,240.3,3.09,Active,1
CHEMBL215593,CCC[C@@]12CCC(=O)C(C)=C1c1ccc(O)cc1C2,14.0,7.853871964321762,256.34,3.87,Active,1
CHEMBL212923,O=C1C=C2c3ccc4[nH]ncc4c3CC2(Cc2ccccc2)CC1,10000.0,5.0,314.39,4.09,Inactive,0
CHEMBL442249,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)[nH]c2ccc(OCCCN3CCCCC3)cc12,10000.0,5.0,539.72,6.48,Inactive,0
CHEMBL240230,C[C@H](CCc1ccc(O)cc1)NC(=O)Cc1c(-c2ccccc2)[nH]c2ccc(OCCCCN3CCCCC3)cc12,5594.0,5.252277537964492,553.75,6.87,Inactive,0
CHEMBL194012,C[C@H]1OC2(CCC3=Cc4c(cnn4-c4ccc(F)cc4)C[C@@]32C)O[C@@H]1C,10000.0,5.0,354.43,4.27,Inactive,0
CHEMBL1087419,Oc1ccc2c(c1)OC(c1ccc(OCCN3CCCCC3)cc1)C1=C2CCOc2cc(O)ccc21,31.0,7.508638306165727,485.58,5.79,Active,1
CHEMBL190038,CSC1=C(c2ccc(O)cc2)C(=O)c2cc(O)cc(O)c21,2.0,8.698970004336019,300.33,3.23,Active,1
CHEMBL371777,CC1=C(c2ccc(O)cc2)C(=O)c2cc(O)ccc21,11.0,7.958607314841775,252.27,3.22,Active,1
CHEMBL3960585,COC[C@@H]1C[C@@H]2[C@H](CCC3C(O)CC[C@H]32)c2ccc(O)cc21,21.0,7.6777807052660805,302.41,3.41,Active,1
CHEMBL153395,CN(C[C@@H]1C[C@@H]1c1ccccc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCNCC2)n1,20.0,7.698970004336019,459.6,2.88,Active,1
CHEMBL378807,O=c1c2c(OS(=O)(=O)C(F)(F)F)cc(O)cc2ncn1-c1ccc(O)cc1,11979.0,4.921579435086,402.31,2.03,Inactive,0
CHEMBL205395,O=c1c2c(O)cc(O)c(I)c2ncn1-c1ccc(O)cc1,4081.0,5.3892334052267294,396.14,2.11,Inactive,0
CHEMBL264216,Oc1ccc2c(c1)sc1c3cc(O)ccc3n(Cc3ccc(OCCN4CCCCCC4)cc3)c21,7.26,8.139063379299905,486.64,6.72,Active,1
CHEMBL195311,Oc1ccc(-c2ccc3cc(O)ccc3c2)c(Cl)c1,1.4,8.853871964321762,270.71,4.57,Active,1
